"userid","data_to_parse"
"54f4f4ef6cd67","""value"":""N;U;A7;W""}]"
"54f3d1063cf5d","""value"":""N;U;I6;W""}]"
"54f3b129004be","""value"":""N;U;A7;W""}]"
"54f48b5cec06b","""value"":""Y;U;A5;W""}]"
"54f4ed3188961","""value"":""N;U;I1;L""}]"
"54f525dd35683","""value"":""N;U;A7;W""}]"
"54f5d84a1aa0e","""value"":""N;U;A7;W""}]"
"54f685af433d9","""value"":""N;U;U;W""}]"
"54f4c1ca2db9a","""value"":""N;U;I1;W""}]"
"54f4c0e397966","""value"":""N;U;I6;W""}]"
"54f3d4706b6c3","""value"":""N;U;A7;W""}]"
"54f462dde7c61","""value"":""Y;U;A6;W""}]"
"54f6592f21ad3","""value"":""Y;U;A1;W""}]"
"54f680420a813","""value"":""N;U;A7;W""}]"
"54f3b1b48b252","""value"":""N;U;I4;W""}]"
"54f375d01f95d","""value"":""N;U;A4;W""}]"
"54f3683659bc5","""value"":""Y;U;A7;W""}]"
"54f4ae7779d9e","""value"":""Y;U;A3;W""}]"
"54f3dfeb5364e","""value"":""N;U;A7;W""}]"
"54f5b7eb21a6d","""value"":""N;U;A7;W""}]"
"54f4645065fff","""value"":""N;U;I1;W""}]"
"54f62542099e4","""value"":""N;U;A7;W""}]"
"54f68adb75e56","""value"":""N;U;U;W""}]"
"54f4901c2f5b3","""value"":""N;U;A7;W""}]"
"54f4bfc0c0127","""value"":""N;U;A4;W""}]"
"54f62b9343497","""value"":""N;U;A7;L""}]"
"54f39eaee64fd","""value"":""Y;U;A7;W""}]"
"54f628d21c642","""value"":""N;U;A7;W""}]"
"54f3a384aa913","""value"":""N;U;A1;W""}]"
"54f4e1063b8ec","""value"":""N;U;A2;W""}]"
"54f3ff10a7e13","""value"":""N;U;I1;W""}]"
"54f4d8eaec305","""value"":""Y;U;A1;W""}]"
"54f640104e723","""value"":""N;U;U;L""}]"
"54f49cf68b0a5","""value"":""N;U;A7;W""}]"
"54f5fae237637","""value"":""N;U;A7;W""}]"
"54f4951f4b74c","""value"":""N;U;I2;W""}]"
"54f59f5d3a2e4","""value"":""Y;U;A1;W""}]"
